"","SPEC","slope_sign","min_adult","max_adult"
"168","WEVI","negative",8,63
"169","WEWP","positive",NA,NA
"170","WEWP","zero",NA,NA
"171","WEWP","negative",0,19
"172","WIWA","positive",NA,NA
"173","WIWA","zero",0,2
"174","WIWA","negative",3,500
"175","WOTH","positive",NA,NA
"176","WOTH","zero",0,2
"177","WOTH","negative",3,61
"178","WREN","positive",NA,NA
"179","WREN","zero",0,3
"180","WREN","negative",4,51
"181","YBCH","positive",NA,NA
"182","YBCH","zero",0,8
"183","YBCH","negative",9,172
"184","YEWA","positive",0,5
"185","YEWA","zero",6,9
"186","YEWA","negative",10,374
